ID_USER,DATE,LAT,LONG,ID_VENUE,SUBCATEGORIA_VENUE,CATEGORIA_MAE,PAIS,CIDADE,BAIRRO,GENERO,OFFSET_HORARIO,CIDADE__PELO_METODO2,PAIS_PELO_METODO2,geometry,index_right,Bairro
 49243635,2014-05-29T15:17:32Z,-25.471657861,-49.2857408524,4e664fbd091afcffda1d6f06,Pub,Pub,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2857408524 -25.471657861),0,ÁGUA VERDE
 43857134,2014-05-29T15:17:45Z,-25.4649714605,-49.2523845464,4c5960e4b8b3c9b6b9f088b6,College-Communications-Building,Communications,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2523845464 -25.4649714605),18,PRADO VELHO
 14266264,2014-05-29T15:18:04Z,-25.452557,-49.25287668,4d59ad996b028eec1e025782,Bar,Bar,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.25287668 -25.452557),18,PRADO VELHO
 79429315,2014-05-29T15:18:07Z,-25.4972522491,-49.309496985,526354eb11d27c7565495331,Home-(private),Home,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.309496985 -25.4972522491),66,CIDADE INDUSTRIAL DE CURITIBA
 84249997,2014-05-29T15:19:46Z,-25.4920685195,-49.2933053064,4bcc829b68f976b044b56283,Bus-Station,Bus-Station,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2933053064 -25.4920685195),46,NOVO MUNDO
 12264006,2014-05-29T15:20:31Z,-25.4313975373,-49.2757692347,518e6f5c498efa3dcfd1d19a,Sandwich-Place,Sandwiches,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2757692347 -25.4313975373),49,CENTRO
 51192470,2014-05-29T15:20:42Z,-25.4338065675,-49.2769671819,4e3440c9e4cdf7a42cafbac2,Sushi-Restaurant,Sushi,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2769671819 -25.4338065675),49,CENTRO
 49937073,2014-05-29T15:22:13Z,-25.4118418046,-49.2741537094,4c6963d3d0bdc9b6e7c4a50b,Supermarket,Supermarket,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2741537094 -25.4118418046),42,BOM RETIRO
 28598614,2014-05-29T15:22:48Z,-25.410371016,-49.2540640382,4bddb3070ee3a593ae462eb0,Fast-Food-Restaurant,Fast-Food,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2540640382 -25.410371016),9,CABRAL
 6709525,2014-05-29T15:23:35Z,-25.4724908518,-49.2525672913,4b51c3fcf964a520d15427e3,Mall,Mall,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2525672913 -25.4724908518),44,HAUER
 6709525,2014-05-29T15:23:47Z,-25.472315,-49.252325,4d0120feba1da1cd5f7a8c28,Restaurant,Restaurant,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.252325 -25.472315),44,HAUER
 19484430,2014-05-29T15:23:51Z,-25.4333466762,-49.2697600732,4b995e1cf964a5203f7635e3,Building,Building,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2697600732 -25.4333466762),49,CENTRO
 12964914,2014-05-29T15:24:21Z,-25.4262995888,-49.2513442039,4bfaa1975317a59317ec027f,Supermarket,Supermarket,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2513442039 -25.4262995888),30,ALTO DA RUA XV
 6709525,2014-05-29T15:24:23Z,-25.47238954,-49.252372,4d7ba5a48f89224b8d869426,Food-Court,Food-Court,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.252372 -25.47238954),44,HAUER
 51879676,2014-05-29T15:26:10Z,-25.4858044432,-49.268156416,4fa93eb2e4b039fc1cc924aa,Brazilian-Restaurant,Brazilian,Brasil,notFound,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.268156416 -25.4858044432),45,FANNY
 78348497,2014-05-29T15:26:32Z,-25.4351846454,-49.2753124237,4d93d7ca50d02c0f0500c198,General-College-&-University,Education,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2753124237 -25.4351846454),49,CENTRO
 6816809,2014-05-29T15:27:17Z,-25.4432164827,-49.2906761169,514f392ce4b0dab6390f6426,Mall,Mall,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2906761169 -25.4432164827),51,BATEL
 69149317,2014-05-29T15:28:37Z,-25.4208398199,-49.2677901549,517fe3a1e4b0c2ce9161dbce,Swiss-Restaurant,Swiss,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2677901549 -25.4208398199),12,CENTRO CÍVICO
 52521754,2014-05-29T15:29:24Z,-25.4584028093,-49.2707599068,4db1b253a86e63d2117135e9,Italian-Restaurant,Italian,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2707599068 -25.4584028093),19,PAROLIN
 10767760,2014-05-29T15:29:33Z,-25.4276367494,-49.2623198032,4cddaf5c69136dcbf4b3d0e6,Snack-Place,Snacks,Brasil,Curitiba,Centro,male,-180,Curitiba,Brazil            ,POINT (-49.2623198032 -25.4276367494),49,CENTRO
 65989851,2014-05-29T15:29:49Z,-25.4476923768,-49.2835092545,4ea1bd690cd6fc5af39e5184,Office,Office,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2835092545 -25.4476923768),0,ÁGUA VERDE
